English,Thai
a an,หนึ่ง
abandon ,ละทิ้ง
abandoned ,ถูกปล่อยปละละเลย
ability ,ความสามารถ
able ,สามารถ
unable ,ไม่สามารถ
about  ,เกี่ยวกับ
above  ,ข้างบน
abroad ,ในต่างประเทศ
absence ,ขาด
absent ,ขาด
absolute ,แน่นอน
absolutely ,อย่างแน่นอน
absorb ,ซึมซับ
abuse  ,การละเมิด
academic ,วิชาการ
accent ,สำเนียง
accept ,ยอมรับ
acceptable ,ยอมรับได้
unacceptable ,รับไม่ได้
access ,เข้าไป
accident ,อุบัติเหตุ
by accident,โดยบังเอิญ
accidental ,โดยบังเอิญ
accidentally ,โดยไม่ตั้งใจ
accommodation ,ที่พัก
accompany ,มากับ
according to ,ตาม
account  ,บัญชีผู้ใช้
accurate ,ถูกต้อง
accurately ,แม่นยำ
accuse ,กล่าวโทษ
achieve ,บรรลุ
achievement ,ความสำเร็จ
acid ,กรด
acknowledge ,รับทราบ
acquire ,ซื้อ
across  ,ข้าม
act  ,ทำหน้าที่
action ,หนังบู๊
take action,เริ่มปฏิบัติ
active ,คล่องแคล่ว
actively ,อย่างกระตือรือร้น
activity ,กิจกรรม
actor actress ,นักแสดงชายนักแสดงหญิง
actual ,ที่จริง
actually ,แท้จริง
ad advertisement,โฆษณาโฆษณา
adapt ,ปรับ
add ,เพิ่ม
addition ,ส่วนที่เพิ่มเข้าไป
in addition ,นอกเหนือ
additional ,เพิ่มเติม
address  ,ที่อยู่
adequate ,เพียงพอ
adequately ,อย่างเพียงพอ
adjust ,ปรับ
admiration ,สิ่งที่น่าชมเชย
admire ,ชื่นชม
admit ,ยอมรับ
adopt ,นำมาใช้
adult  ,ผู้ใหญ่
advance  ,ล่วงหน้า
advanced ,สูง
in advance,ล่วงหน้า
advantage ,ความได้เปรียบ
take advantage of,ใช้ประโยชน์จาก
adventure ,การผจญภัย
advertise ,โฆษณา
advertising ,การโฆษณา
advertisement ,การโฆษณา
advice ,คำแนะนำ
advise ,ให้คำแนะนำ
affair ,เรื่อง
affect ,มีผลต่อ
affection ,ความรัก
afford ,จ่าย
afraid ,เกรงกลัว
after   ,หลังจาก
afternoon ,ตอนบ่าย
afterwards,ภายหลัง
again ,อีกครั้ง
against ,ต่อต้าน
aged ,มีอายุ
agency ,หน่วยงาน
agent ,ตัวแทน
aggressive ,ก้าวร้าว
ago ,มาแล้ว
agree ,ตกลง
agreement ,ข้อตกลง
ahead ,ล่วงหน้า
aid  ,ช่วยเหลือ
aim  ,จุดมุ่งหมาย
air ,อากาศ
aircraft ,อากาศยาน
airport ,สนามบิน
alarm  ,สัญญาณเตือนภัย
alarming ,น่ากลัว
